epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,71.0074,1.02939,0.98487,1,0.05148,0.000331944,0.000331944,0.0671375
2,134.157,0.20862,0.99374,1,0.02302,0.000652105,0.000652105,0.0341243
3,191.759,0.20637,0.99896,1,0.00505,0.000959066,0.000959066,0.00109796
4,246.487,0.15998,1,1,0.00192,0.0009406,0.0009406,0.0009406
5,302.34,0.14172,0.99896,1,0.00273,0.0009208,0.0009208,0.0009208
6,360.238,0.10511,1,1,0.00107,0.000901,0.000901,0.000901
7,415.617,0.08188,1,1,6e-05,0.0008812,0.0008812,0.0008812
8,473.199,0.08633,1,1,6e-05,0.0008614,0.0008614,0.0008614
9,528.577,0.07181,1,1,0.00029,0.0008416,0.0008416,0.0008416
10,583.278,0.07311,0.99896,1,0.00264,0.0008218,0.0008218,0.0008218
11,640.559,0.0737,1,1,6e-05,0.000802,0.000802,0.000802
12,698.358,0.07602,1,1,2e-05,0.0007822,0.0007822,0.0007822
13,753.38,0.05518,1,1,2e-05,0.0007624,0.0007624,0.0007624
14,807.877,0.05528,1,1,0,0.0007426,0.0007426,0.0007426
