epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,75.2449,0.78744,0.99426,1,0.02242,0.000331944,0.000331944,0.0671375
2,148.356,0.21859,0.99791,1,0.00844,0.000643324,0.000643324,0.0341155
3,219.743,0.19031,0.99374,1,0.01879,0.000932703,0.000932703,0.00107159
4,290.339,0.17958,0.99948,1,0.00158,0.000901,0.000901,0.000901
5,360.274,0.11624,1,1,0.00022,0.000868,0.000868,0.000868
6,428.743,0.08296,1,1,1e-05,0.000835,0.000835,0.000835
7,497.306,0.07168,1,1,0.00025,0.000802,0.000802,0.000802
8,566.631,0.07789,0.99896,1,0.0039,0.000769,0.000769,0.000769
9,636.478,0.07905,1,1,0.00027,0.000736,0.000736,0.000736
10,705.424,0.06915,0.99322,1,0.03332,0.000703,0.000703,0.000703
11,775.865,0.05745,1,1,0,0.00067,0.00067,0.00067
12,845.079,0.04654,1,1,1e-05,0.000637,0.000637,0.000637
13,915.562,0.04364,1,1,2e-05,0.000604,0.000604,0.000604
14,985.149,0.04334,1,1,6e-05,0.000571,0.000571,0.000571
15,1053.78,0.03568,1,1,0,0.000538,0.000538,0.000538
16,1122.35,0.03803,1,1,1e-05,0.000505,0.000505,0.000505
17,1192.43,0.04027,1,1,0,0.000472,0.000472,0.000472
18,1263.08,0.03672,1,1,2e-05,0.000439,0.000439,0.000439
19,1332.9,0.03099,1,1,0,0.000406,0.000406,0.000406
20,1403.04,0.02638,1,1,0,0.000373,0.000373,0.000373
21,1472.85,0.03062,1,1,0,0.00034,0.00034,0.00034
22,1545.2,0.02233,1,1,0,0.000307,0.000307,0.000307
23,1616.81,0.02171,1,1,0,0.000274,0.000274,0.000274
24,1688.24,0.02161,1,1,0.0001,0.000241,0.000241,0.000241
25,1758.95,0.02011,1,1,0,0.000208,0.000208,0.000208
26,1828.83,0.01619,1,1,2e-05,0.000175,0.000175,0.000175
27,1899.92,0.01313,1,1,0,0.000142,0.000142,0.000142
28,1971.46,0.01567,1,1,0,0.000109,0.000109,0.000109
29,2042.97,0.01497,1,1,0,7.6e-05,7.6e-05,7.6e-05
30,2114.26,0.00939,1,1,0,4.3e-05,4.3e-05,4.3e-05
